122.3,,,,,,,,,,
Normal,38,21,,,,,,,,
Normal,37,25,,,,,,,,
Normal,39,29,,,,,,,,
Normal,36,33,,,,,,,,
Long,39,(,23,10,21,),36,37,39
Long,36,(,21,10,23,),39,41,43
Long,39,(,58,57,56,),36,45,47
Long,36,(,56,57,58,),39,49,51
Spin,23,2,2,54,,,,,,
Spin,21,2,2,57,,,,,,
Spin,39,2,2,61,,,,,,
Spin,36,2,2,65,,,,,,
Normal,56,69,,,,,,,,
Normal,58,70,,,,,,,,
Normal,36,71,,,,,,,,
Normal,39,72,,,,,,,,
Normal,21,73,,,,,,,,
Normal,22,74,,,,,,,,
Long,10,(,21,),36,77,78,,
Long,10,(,23,),39,79,80,,
Long,36,(,21,10,23,),39,81,84
Spin,23,2,2,87,,,,,,
Spin,21,2,2,91,,,,,,
Normal,38,95,,,,,,,,
